id,method,partisan,survey_houses,date,moe,type,n,state,dem,gop,lib,undecided,gap,weight
16653,Internet,true,JZ Analytics,Fri Nov 02 2012 19:00:00 GMT-0500 (CDT),3.5,likely voters,814,VA,0.52298716426,0.43701283574,-1,0.04,0.08000000000000002,4.93988360738469
16648,Internet,false,Angus Reid,Thu Nov 01 2012 19:00:00 GMT-0500 (CDT),5,likely voters,454,WI,0.53838045239,0.45161954761,-1,0.009999999999999953,0.07,10.02013522479367
16647,Automated Phone,false,New England College,Sat Nov 03 2012 07:00:00 GMT-0500 (CDT),3.72,likely voters,687,NH,0.50117910922,0.45882089078000005,-1,0.03,0.03999999999999998,9.9868929244846
16645,Automated Phone,true,Public Policy Polling (D),Sat Nov 03 2012 07:00:00 GMT-0500 (CDT),3.6,likely voters,750,NV,0.51,0.47,-1,0.01,0.040000000000000036,5.010344528239843
16644,Live Phone,true,The Mellman Group (D),Wed Oct 31 2012 07:00:00 GMT-0500 (CDT),3.4,likely voters,800,FL,0.45859180331,0.46140819669,-1,0.03,0.019999999999999962,4.993171639600029
16643,Automated Phone,true,Public Policy Polling (D),Sat Nov 03 2012 07:00:00 GMT-0500 (CDT),3,likely voters,1096,CO,0.52,0.46,-1,0.03,0.06,5.010344528239843
16642,Live Phone,true,The Mellman Group (D),Wed Oct 31 2012 07:00:00 GMT-0500 (CDT),3.4,likely voters,800,VA,0.46859180331,0.46140819669,-1,0.04,0.02999999999999997,4.993171639600029
16641,Live Phone,false,Gallup Poll,Fri Nov 02 2012 07:00:00 GMT-0500 (CDT),2,likely voters,2551,US,0.48336832463999996,0.48663167536,-1,0.030000000000000027,-0.010000000000000009,9.990508171193284
16640,Automated Phone,true,Public Policy Polling (D),Fri Nov 02 2012 07:00:00 GMT-0500 (CDT),2.7,likely voters,1300,US,0.5,0.48,-1,0.02,0.020000000000000018,5.010344528239843
16639,IVR/Online,false,SurveyUSA,Fri Nov 02 2012 07:00:00 GMT-0500 (CDT),3.5,likely voters,803,OH,0.49,0.44,-1,0.04,0.04999999999999999,10.07923933505949
16638,Live Phone,false,American Research Group,Fri Nov 02 2012 19:00:00 GMT-0500 (CDT),4,likely voters,600,NH,0.49,0.49,-1,0.02,0,9.920528391734432
16637,Live Phone,false,American Research Group,Fri Nov 02 2012 19:00:00 GMT-0500 (CDT),4,likely voters,600,IA,0.48,0.49,-1,0.02,-0.010000000000000009,9.920528391734432
16636,Live Phone,false,American Research Group,Fri Nov 02 2012 19:00:00 GMT-0500 (CDT),3,likely voters,1200,US,0.49,0.49,-1,0.01,0,9.920528391734432
16634,IVR/Live Phone,false,SurveyUSA|Braun Research|Monmouth University,Fri Nov 02 2012 07:00:00 GMT-0500 (CDT),2.6,likely voters,1417,US,0.47997291599666664,0.4800270840033333,-1,0.02,0,10.046066142507705
16632,Automated Phone,false,Rasmussen Reports,Sat Nov 03 2012 19:00:00 GMT-0500 (CDT),4,likely voters,750,OH,0.5049082911,0.47509170889999996,-1,0.01,0,9.929529507955671
16631,Automated Phone,false,InsiderAdvantage,Sat Nov 03 2012 19:00:00 GMT-0500 (CDT),4.6,likely voters,437,FL,0.46771066785,0.5222893321500001,-1,0.01,-0.050000000000000044,9.882866764419552
16630,Live Phone,false,Mason-Dixon,Mon Oct 29 2012 19:00:00 GMT-0500 (CDT),4,registered voters,625,UT,0.25465456188,0.6953454381199999,-1,0.03,-0.44999999999999996,7.516178596870796
16628,Internet,false,Angus Reid,Fri Nov 02 2012 19:00:00 GMT-0500 (CDT),5,likely voters,479,PA,0.51838045239,0.46161954760999996,-1,0.020000000000000018,0.040000000000000036,10.02013522479367
16627,Live Phone,false,University of Cincinnati,Thu Nov 01 2012 19:00:00 GMT-0500 (CDT),3.3,likely voters,889,OH,0.50952818871,0.48047181129,-1,0.010000000000000009,0.010000000000000009,10.081218440017441
16626,Live Phone,true,Lake Research,Thu Nov 01 2012 19:00:00 GMT-0500 (CDT),5,likely voters,400,CO,0.45,0.44,0.03,0.03,0.010000000000000009,5.011786058626777
16623,Live Phone,false,University of New Hampshire,Fri Nov 02 2012 07:00:00 GMT-0500 (CDT),5,likely voters,776,NH,0.48841179848,0.47158820152,-1,0.03,0.03999999999999998,10.018382487715456
16622,Internet,false,Angus Reid,Thu Nov 01 2012 19:00:00 GMT-0500 (CDT),4.4,likely voters,502,MI,0.52838045239,0.46161954760999996,-1,0.010000000000000009,0.050000000000000044,10.02013522479367
16621,Automated Phone,false,Gravis Marketing,Sat Nov 03 2012 19:00:00 GMT-0500 (CDT),2.9,likely voters,1130,NC,0.46559266329000004,0.49440733671,-1,0.04,-0.03999999999999998,9.95467557898291
16620,Automated Phone,false,Rasmussen Reports,Sat Nov 03 2012 19:00:00 GMT-0500 (CDT),4,likely voters,750,VA,0.4949082911,0.4850917089,-1,0.01,-0.020000000000000018,9.929529507955671
16617,Live Phone,true,Greenberg Quinlan Rosner Research (D),Fri Nov 02 2012 07:00:00 GMT-0500 (CDT),5,likely voters,1080,US,0.49,0.45,-1,0.06,0.03999999999999998,5
16615,IVR/Online,false,SurveyUSA,Tue Oct 30 2012 19:00:00 GMT-0500 (CDT),4.1,likely voters,589,MO,0.43,0.5,-1,0.03,-0.07,10.07923933505949
16614,Live Phone,false,Marist College,Thu Nov 01 2012 07:00:00 GMT-0500 (CDT),2.9,likely voters,1165,VA,0.48170895636,0.46829104363999996,-1,0.03,0.010000000000000009,10.076076539739766
16613,Automated Phone,true,Public Policy Polling (D),Sat Nov 03 2012 07:00:00 GMT-0500 (CDT),3.2,likely voters,926,NC,0.49,0.49,-1,0.01,0,5.010344528239843
16612,Automated Phone,true,Public Policy Polling (D),Sat Nov 03 2012 07:00:00 GMT-0500 (CDT),3.2,likely voters,955,FL,0.5,0.49,-1,0.01,0.010000000000000009,5.010344528239843
16611,IVR/Online,false,SurveyUSA,Thu Nov 01 2012 19:00:00 GMT-0500 (CDT),4.2,likely voters,556,MN,0.52,0.41,-1,0.04,0.11000000000000004,10.07923933505949
16610,Automated Phone,true,Public Policy Polling (D),Fri Nov 02 2012 19:00:00 GMT-0500 (CDT),2.8,likely voters,1200,US,0.5,0.48,-1,0.03,0.020000000000000018,5.010344528239843
16609,Live Phone,false,UMass,Thu Nov 01 2012 07:00:00 GMT-0500 (CDT),4.1,likely voters,800,MA,0.57,0.37,-1,0.04,0.19999999999999996,9.75586943715266
16608,Automated Phone,true,Public Policy Polling (D),Sat Nov 03 2012 07:00:00 GMT-0500 (CDT),3.1,likely voters,975,VA,0.51,0.47,-1,0.01,0.040000000000000036,5.010344528239843
16607,Automated Phone,true,Public Policy Polling (D),Sat Nov 03 2012 07:00:00 GMT-0500 (CDT),3.1,likely voters,1000,OH,0.52,0.47,-1,0.02,0.050000000000000044,5.010344528239843
16606,Live Phone,false,Opinion Research Corporation,Fri Nov 02 2012 19:00:00 GMT-0500 (CDT),3.5,likely voters,693,US,0.49,0.49,-1,0.020000000000000018,0,10
16605,Automated Phone,true,Pulse Opinion Research,Mon Oct 29 2012 19:00:00 GMT-0500 (CDT),3,likely voters,1000,WI,0.5049082911,0.46509170889999996,-1,0.02,0.010000000000000009,4.9647647539778355
16604,Automated Phone,true,Pulse Opinion Research,Mon Oct 29 2012 19:00:00 GMT-0500 (CDT),3,likely voters,1000,PA,0.5049082911,0.44509170890000005,-1,0.03,0.02999999999999997,4.9647647539778355
16603,Automated Phone,true,Pulse Opinion Research,Mon Oct 29 2012 19:00:00 GMT-0500 (CDT),3,likely voters,1000,VA,0.5049082911,0.46509170889999996,-1,0.03,0.010000000000000009,4.9647647539778355
16602,Automated Phone,true,Pulse Opinion Research,Sun Oct 28 2012 19:00:00 GMT-0500 (CDT),3,likely voters,1000,OH,0.4949082911,0.44509170890000005,-1,0.03,0.019999999999999962,4.9647647539778355
16601,Automated Phone,true,Pulse Opinion Research,Sun Oct 28 2012 19:00:00 GMT-0500 (CDT),3,likely voters,1000,FL,0.4949082911,0.4850917089,-1,0.01,-0.020000000000000018,4.9647647539778355
16600,Automated Phone,true,Public Policy Polling (D),Sat Nov 03 2012 07:00:00 GMT-0500 (CDT),2.5,likely voters,1550,NH,0.5,0.48,-1,0.01,0.020000000000000018,5.010344528239843
16599,Automated Phone,true,Public Policy Polling (D),Sat Nov 03 2012 07:00:00 GMT-0500 (CDT),2.9,likely voters,1122,IA,0.5,0.48,-1,0.02,0.020000000000000018,5.010344528239843
16597,Internet,false,YouGov,Thu Nov 01 2012 07:00:00 GMT-0500 (CDT),5,likely voters,650,NM,0.47901514411,0.44098485588999997,-1,0.03,0.06,9.959255504555045
16596,Internet,false,YouGov,Thu Nov 01 2012 07:00:00 GMT-0500 (CDT),3.2,likely voters,1563,TX,0.36901514411,0.5809848558899999,-1,0.02,-0.18999999999999995,9.959255504555045
16595,Internet,false,YouGov,Thu Nov 01 2012 07:00:00 GMT-0500 (CDT),4.1,likely voters,690,NH,0.45901514411,0.44098485588999997,-1,0.06,0.03999999999999998,9.959255504555045
16594,Internet,false,YouGov,Thu Nov 01 2012 07:00:00 GMT-0500 (CDT),4,likely voters,697,TN,0.40901514411,0.54098485589,-1,0.03,-0.11000000000000004,9.959255504555045
16593,Internet,false,YouGov,Thu Nov 01 2012 07:00:00 GMT-0500 (CDT),3.8,likely voters,779,MO,0.40901514411,0.54098485589,-1,0.03,-0.11000000000000004,9.959255504555045
16592,Internet,false,YouGov,Thu Nov 01 2012 07:00:00 GMT-0500 (CDT),4.1,likely voters,732,NV,0.47901514411,0.46098485589,-1,0.03,0.03999999999999998,9.959255504555045
16591,Internet,false,YouGov,Thu Nov 01 2012 07:00:00 GMT-0500 (CDT),3,likely voters,1620,OH,0.47901514411,0.47098485589,-1,0.03,0.02999999999999997,9.959255504555045
16590,Internet,false,YouGov,Thu Nov 01 2012 07:00:00 GMT-0500 (CDT),4.1,likely voters,768,IN,0.42901514411,0.52098485589,-1,0.04,-0.07,9.959255504555045
16589,Internet,false,YouGov,Thu Nov 01 2012 07:00:00 GMT-0500 (CDT),3.5,likely voters,1070,GA,0.42901514411,0.53098485589,-1,0.02,-0.08000000000000002,9.959255504555045
16588,Internet,false,YouGov,Thu Nov 01 2012 07:00:00 GMT-0500 (CDT),3.1,likely voters,1225,WI,0.48901514411,0.47098485589,-1,0.03,0.03999999999999998,9.959255504555045
16587,Internet,false,YouGov,Thu Nov 01 2012 07:00:00 GMT-0500 (CDT),5,likely voters,987,NJ,0.51901514411,0.42098485588999995,-1,0.04,0.12000000000000005,9.959255504555045
16586,Internet,false,YouGov,Thu Nov 01 2012 07:00:00 GMT-0500 (CDT),4.1,likely voters,702,AZ,0.42901514411,0.53098485589,-1,0.03,-0.08000000000000002,9.959255504555045
16585,Internet,false,YouGov,Thu Nov 01 2012 07:00:00 GMT-0500 (CDT),4.1,likely voters,752,CO,0.46901514411,0.48098485588999995,-1,0.02,0.010000000000000009,9.959255504555045
16584,Internet,false,YouGov,Thu Nov 01 2012 07:00:00 GMT-0500 (CDT),5,likely voters,790,MN,0.48901514411,0.44098485588999997,-1,0.04,0.07,9.959255504555045
16583,Internet,false,YouGov,Thu Nov 01 2012 07:00:00 GMT-0500 (CDT),5,likely voters,837,WA,0.5290151441100001,0.41098485589,-1,0.02,0.14,9.959255504555045
16582,Internet,false,YouGov,Thu Nov 01 2012 07:00:00 GMT-0500 (CDT),3.5,likely voters,1040,IA,0.46901514411,0.48098485588999995,-1,0.03,0.010000000000000009,9.959255504555045
16581,Internet,false,YouGov,Thu Nov 01 2012 07:00:00 GMT-0500 (CDT),3.3,likely voters,1273,PA,0.50901514411,0.45098485589,-1,0.03,0.08000000000000002,9.959255504555045
16580,Internet,false,YouGov,Thu Nov 01 2012 07:00:00 GMT-0500 (CDT),5,likely voters,1091,MI,0.49901514411000003,0.45098485589,-1,0.03,0.07,9.959255504555045
16579,Internet,false,YouGov,Thu Nov 01 2012 07:00:00 GMT-0500 (CDT),2.8,likely voters,1430,NY,0.57901514411,0.37098485588999996,-1,0.03,0.22999999999999998,9.959255504555045
16578,Internet,false,YouGov,Thu Nov 01 2012 07:00:00 GMT-0500 (CDT),2.7,likely voters,1497,VA,0.46901514411,0.47098485589,-1,0.05,0.019999999999999962,9.959255504555045
16577,Internet,false,YouGov,Thu Nov 01 2012 07:00:00 GMT-0500 (CDT),5,likely voters,705,MD,0.57901514411,0.38098485589,-1,0.02,0.21999999999999997,9.959255504555045
16576,Internet,false,YouGov,Thu Nov 01 2012 07:00:00 GMT-0500 (CDT),5,likely voters,811,MA,0.55901514411,0.38098485589,-1,0.03,0.19999999999999996,9.959255504555045
16575,Internet,false,YouGov,Thu Nov 01 2012 07:00:00 GMT-0500 (CDT),3,likely voters,1621,FL,0.45901514411,0.49098485588999996,-1,0.02,-0.010000000000000009,9.959255504555045
16574,Internet,false,YouGov,Thu Nov 01 2012 07:00:00 GMT-0500 (CDT),5,likely voters,1126,IL,0.55901514411,0.39098485589,-1,0.03,0.18999999999999995,9.959255504555045
16573,Internet,false,YouGov,Thu Nov 01 2012 07:00:00 GMT-0500 (CDT),5,likely voters,36472,US,0.47901514411,0.48098485588999995,-1,0.03,0.020000000000000018,9.959255504555045
16572,Internet,false,YouGov,Thu Nov 01 2012 07:00:00 GMT-0500 (CDT),2.8,likely voters,1500,NC,0.45901514411,0.50098485589,-1,0.03,-0.020000000000000018,9.959255504555045
16571,Internet,false,YouGov,Thu Nov 01 2012 07:00:00 GMT-0500 (CDT),5,likely voters,895,CT,0.5290151441100001,0.40098485589,-1,0.05,0.15000000000000002,9.959255504555045
16569,Internet,false,YouGov,Thu Nov 01 2012 07:00:00 GMT-0500 (CDT),3.5,likely voters,1575,CA,0.5390151441100001,0.41098485589,-1,0.02,0.15000000000000002,9.959255504555045
16568,Live Phone,false,Princeton Survey Research Associates International|Pew Research Center,Thu Nov 01 2012 07:00:00 GMT-0500 (CDT),2.2,likely voters,2709,US,0.48,0.45,-1,0.07,0.02999999999999997,10.027037626962219
16561,Automated Phone,true,Public Policy Polling (D),Fri Nov 02 2012 07:00:00 GMT-0500 (CDT),3.4,likely voters,836,MT,0.45,0.52,-1,0.03,-0.07,5.010344528239843
16560,Automated Phone,true,Public Policy Polling (D),Fri Nov 02 2012 07:00:00 GMT-0500 (CDT),3,likely voters,1080,AZ,0.46,0.53,-1,0.01,-0.07,5.010344528239843
16559,Live Phone,false,Muhlenberg College,Thu Nov 01 2012 19:00:00 GMT-0500 (CDT),5,likely voters,430,PA,0.49,0.46,-1,0.03,0.02999999999999997,10.062078243975012
16553,Live Phone,false,Mason-Dixon,Mon Oct 29 2012 19:00:00 GMT-0500 (CDT),4,likely voters,625,MT,0.43465456188,0.52534543812,-1,0.02,-0.10000000000000003,10.021571462494395
16552,Automated Phone,false,Rasmussen Reports,Sun Oct 28 2012 19:00:00 GMT-0500 (CDT),4.5,likely voters,500,MT,0.44490829109999996,0.5150917089,-1,0.04,-0.10000000000000003,9.929529507955671
16551,Mixed,false,Rasmussen Reports,Wed Oct 31 2012 19:00:00 GMT-0500 (CDT),4,likely voters,600,IN,0.44490829109999996,0.5050917089,-1,0.04,-0.09000000000000002,9.929529507955671
16550,Automated Phone,true,Public Policy Polling (D),Fri Nov 02 2012 07:00:00 GMT-0500 (CDT),3.4,likely voters,835,MO,0.45,0.53,-1,0.02,-0.08000000000000002,5.010344528239843
16547,Automated Phone,true,Foster McCollum White Baydoun,Thu Nov 01 2012 19:00:00 GMT-0500 (CDT),2.11,likely voters,1913,MI,0.46,0.47,-1,0.02,-0.009999999999999953,4.87793471857633
16546,Live Phone,false,Peter Hart (D)|Bill McInturff (R),Thu Nov 01 2012 19:00:00 GMT-0500 (CDT),2.55,likely voters,1475,US,0.48,0.47,-1,0.01,0.010000000000000009,10
16545,Live Phone,true,Public Opinion Strategies (R),Tue Oct 30 2012 07:00:00 GMT-0500 (CDT),4.38,likely voters,500,NM,0.50414309621,0.39585690379,0.06,0.040000000000000036,0.08000000000000002,4.988468116765991
16544,Live Phone,false,Tarrance Group and Lake Research Partners,Tue Oct 30 2012 07:00:00 GMT-0500 (CDT),3.1,likely voters,1000,US,0.48,0.48,-1,0.03,0,9.75586943715266
16543,Live Phone,false,Western New England College,Sun Oct 28 2012 19:00:00 GMT-0500 (CDT),4,likely voters,535,MA,0.5811791092199999,0.39882089078000005,-1,0.02,0.17999999999999994,9.9868929244846
16540,Live Phone,false,JZ Analytics,Mon Oct 29 2012 19:00:00 GMT-0500 (CDT),3.5,likely voters,800,US,0.49298716426,0.48701283574,-1,0.020000000000000018,0,9.87976721476938
16537,Automated Phone,true,Susquehanna Polling & Research,Mon Oct 29 2012 19:00:00 GMT-0500 (CDT),3.46,likely voters,800,PA,0.47,0.47,-1,0.06000000000000005,0,4.990714574202531
16536,Mail,false,Columbus Dispatch,Sun Oct 28 2012 19:00:00 GMT-0500 (CDT),2.2,likely voters,1501,OH,0.49351011038,0.48648988962,-1,0.020000000000000018,0.020000000000000018,9.939617804463243
16534,Live Phone,true,NMB Research,Tue Oct 30 2012 07:00:00 GMT-0500 (CDT),4.38,likely voters,500,MN,0.45,0.46,-1,0.09000000000000002,-0.010000000000000009,4.87793471857633
16533,Automated Phone,true,Public Policy Polling (D),Fri Nov 02 2012 07:00:00 GMT-0500 (CDT),2.9,likely voters,1164,MN,0.53,0.45,-1,0.02,0.08000000000000002,5.010344528239843
16531,Live Phone,false,Critical Insights,Tue Oct 30 2012 07:00:00 GMT-0500 (CDT),4,likely voters,613,ME,0.49,0.42,-1,0.06,0.07,9.890056086046643
16530,Automated Phone,true,Public Policy Polling (D),Fri Nov 02 2012 07:00:00 GMT-0500 (CDT),2.8,likely voters,1256,WI,0.51,0.48,-1,0.01,0.030000000000000027,5.010344528239843
16529,Automated Phone,true,Public Policy Polling (D),Fri Nov 02 2012 07:00:00 GMT-0500 (CDT),3.5,likely voters,790,PA,0.52,0.46,-1,0.01,0.06,5.010344528239843
16528,Live Phone,false,University of New Hampshire,Wed Oct 31 2012 19:00:00 GMT-0500 (CDT),4.4,likely voters,502,NH,0.46841179848,0.49158820152,-1,0.03,0,10.018382487715456
16527,Live Phone,false,Selzer & Co.,Wed Oct 31 2012 07:00:00 GMT-0500 (CDT),3.5,likely voters,800,IA,0.47,0.42,-1,0.11000000000000004,0.04999999999999999,10
16521,Automated Phone,true,Public Policy Polling (D),Thu Nov 01 2012 19:00:00 GMT-0500 (CDT),3.2,likely voters,932,WA,0.53,0.46,-1,0.01,0.07,5.010344528239843
16520,Live Phone,false,CVOTER International,Thu Nov 01 2012 19:00:00 GMT-0500 (CDT),4.5,likely voters,1074,US,0.49,0.48,-1,0.030000000000000027,0.010000000000000009,9.944686867789962
16509,Live Phone,false,Dan Jones,Sun Oct 28 2012 19:00:00 GMT-0500 (CDT),3.4,registered voters,870,UT,0.25588698387000003,0.69411301613,-1,0.050000000000000044,-0.42999999999999994,7.449282543977672
16505,Live Phone,true,Grove Insight,Thu Nov 01 2012 07:00:00 GMT-0500 (CDT),4.4,likely voters,500,OH,0.49,0.45,-1,0.04,0.03999999999999998,5.041013462177886
16503,Live Phone,true,Grove Insight,Thu Nov 01 2012 07:00:00 GMT-0500 (CDT),4.4,likely voters,500,WI,0.48,0.42,-1,0.08,0.06,5.041013462177886
16502,Automated Phone,true,Public Policy Polling (D),Thu Nov 01 2012 19:00:00 GMT-0500 (CDT),3.7,likely voters,700,MI,0.52,0.46,-1,0.01,0.06,5.010344528239843
16499,Automated Phone,false,Nielson Brothers,Mon Oct 29 2012 07:00:00 GMT-0500 (CDT),3.52,likely voters,777,SD,0.41081375717999996,0.50918624282,-1,0.08,-0.08000000000000002,9.871376777913486
16498,Automated Phone,false,Rasmussen Reports,Wed Oct 31 2012 19:00:00 GMT-0500 (CDT),3,likely voters,1500,US,0.4949082911,0.46509170889999996,-1,0.02,0,9.929529507955671
16496,Live Phone,false,The Field Poll|UC Berkeley,Tue Oct 23 2012 07:00:00 GMT-0500 (CDT),2.6,likely voters,1566,CA,0.54,0.39,-1,0.05,0.15000000000000002,10
16495,Automated Phone,false,Gravis Marketing,Wed Oct 31 2012 19:00:00 GMT-0500 (CDT),4.3,likely voters,497,NH,0.50559266329,0.48440733670999997,-1,0.010000000000000009,0.010000000000000009,9.95467557898291
16494,Live Phone,true,The Mellman Group (D),Tue Oct 30 2012 19:00:00 GMT-0500 (CDT),4,likely voters,600,IA,0.44859180331000004,0.45140819669,-1,0.1,0.020000000000000018,4.993171639600029
16493,Live Phone,true,The Mellman Group (D),Mon Oct 29 2012 19:00:00 GMT-0500 (CDT),4,likely voters,600,NV,0.48859180331,0.45140819669,-1,0.04,0.06,4.993171639600029
16491,Automated Phone,true,Public Policy Polling (D),Wed Oct 31 2012 07:00:00 GMT-0500 (CDT),3.2,likely voters,921,OR,0.52,0.46,-1,0.03,0.06,5.010344528239843
16489,Live Phone,false,Marist College,Wed Oct 31 2012 07:00:00 GMT-0500 (CDT),3.1,likely voters,971,OH,0.51170895636,0.44829104364,-1,0.03,0.06,10.076076539739766
16488,Live Phone,false,Marist College,Wed Oct 31 2012 07:00:00 GMT-0500 (CDT),2.5,likely voters,1545,FL,0.49170895636,0.46829104363999996,-1,0.02,0.020000000000000018,10.076076539739766
16487,Live Phone,false,Mason-Dixon,Tue Oct 30 2012 19:00:00 GMT-0500 (CDT),3.5,likely voters,800,FL,0.45465456188000003,0.50534543812,-1,0.040000000000000036,-0.06,10.021571462494395
16486,Automated Phone,true,Public Policy Polling (D),Thu Nov 01 2012 07:00:00 GMT-0500 (CDT),2.4,likely voters,1633,ME,0.55,0.42,-1,0.02,0.13000000000000006,5.010344528239843
16485,Automated Phone,true,Public Policy Polling (D),Thu Nov 01 2012 07:00:00 GMT-0500 (CDT),2.8,likely voters,1220,CT,0.55,0.42,-1,0.03,0.13000000000000006,5.010344528239843
16484,Automated Phone,true,Public Policy Polling (D),Thu Nov 01 2012 07:00:00 GMT-0500 (CDT),3,likely voters,1089,MA,0.57,0.42,-1,0.02,0.14999999999999997,5.010344528239843
16483,Internet,true,JZ Analytics,Tue Oct 30 2012 19:00:00 GMT-0500 (CDT),3.1,likely voters,1030,US,0.48298716426,0.45701283574,-1,0.06,0.019999999999999962,4.93988360738469
16481,Internet,false,Ipsos,Wed Oct 31 2012 19:00:00 GMT-0500 (CDT),5,likely voters,1052,CO,0.46,0.46,-1,0.08000000000000002,0,10.040427879183545
